Code for faces,
,
,
,
ca_c,calm closed mouth
ca_o,calm opened mouth
an_c,angry closed
an_o,angry opened mouth
ha_c,happy closed mouth
ha_o,happy open mouth
ha_x,happy open mouth exuberant
fe_c,fear closed
fe_o,fear open
sa_c,sad closed
sa_o,sad open
sp_o,surprised open
ne_c,neutral closed
ne_o,neutral open
di_c,disgust closed
di_o,disgust open
